tag,point_id,cell_id,cell_tag,rep,policy,rho,value_definition,candidate_updates,selected_updates,selection_policy,budget_fraction,value_retention,seeds
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,12,Freshness,0.6,0.915860400829302,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,16,Freshness,0.8,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,20,Freshness,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,2,CoverageDelta,0.1,0.048548721492743606,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,4,CoverageDelta,0.2,0.22114720110573602,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,6,CoverageDelta,0.3,0.39806496199032476,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,8,CoverageDelta,0.4,0.4822045611610228,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,10,CoverageDelta,0.5,0.7389426399447132,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,12,CoverageDelta,0.6,0.915860400829302,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,16,CoverageDelta,0.8,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,20,CoverageDelta,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,2,CoverageAdvantage,0.1,0.1725984796129924,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,4,CoverageAdvantage,0.2,0.3495162404975812,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,6,CoverageAdvantage,0.3,0.4336558396682792,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,8,CoverageAdvantage,0.4,0.6903939184519696,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,10,CoverageAdvantage,0.5,0.8673116793365584,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,12,CoverageAdvantage,0.6,0.9514512785072563,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,16,CoverageAdvantage,0.8,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,20,CoverageAdvantage,1.0,1.0,1
