selection_policy,budget_fraction,value_retention_mean,ci95_low,ci95_high,n_cells,candidate_updates_total,value_retention_per_cell_mean,value_definition
Freshness,0.8,0.8971309014352844,0.8791545881218914,0.9148974648295949,34,1439,0.8971309014352844,next_use
Freshness,1.0,1.0,1.0,1.0,34,1439,1.0,next_use
LearnedLogistic,0.1,0.04856058774278122,0.038371096489679075,0.05997297994835243,34,1439,0.04856058774278122,next_use
LearnedLogistic,0.2,0.095316598303801,0.08083672589545271,0.1103208687447475,34,1439,0.095316598303801,next_use
LearnedLogistic,0.3,0.20636711643643962,0.18217411469898123,0.2296176044434711,34,1439,0.20636711643643962,next_use
LearnedLogistic,0.4,0.3059332263539628,0.27306424218544156,0.33450521219823076,34,1439,0.3059332263539628,next_use
LearnedLogistic,0.5,0.4504983906460026,0.4075819435396291,0.48798349274412633,34,1439,0.4504983906460026,next_use
LearnedLogistic,0.6,0.5948579405959112,0.5618935621656406,0.628016791308346,34,1439,0.5948579405959112,next_use
LearnedLogistic,0.8,0.8796880098954735,0.849346420772439,0.9097385761901806,34,1439,0.8796880098954735,next_use
LearnedLogistic,1.0,1.0,1.0,1.0,34,1439,1.0,next_use
Oracle,0.1,0.2662198089691827,0.2447753779808649,0.28956032063316245,34,1439,0.2662198089691827,next_use
Oracle,0.2,0.5047849009125162,0.4678451833757542,0.541573303919366,34,1439,0.5047849009125162,next_use
Oracle,0.3,0.7247269647824248,0.6829732059592425,0.7633680117436559,34,1439,0.7247269647824248,next_use
Oracle,0.4,0.855033447409989,0.8203568692175635,0.8864446287627218,34,1439,0.855033447409989,next_use
Oracle,0.5,0.9389229564655053,0.9102977002923851,0.9624538719920643,34,1439,0.9389229564655053,next_use
Oracle,0.6,0.9915850822638972,0.9832920555626015,0.9979567645917706,34,1439,0.9915850822638972,next_use
Oracle,0.8,1.0,1.0,1.0,34,1439,1.0,next_use
Oracle,1.0,1.0,1.0,1.0,34,1439,1.0,next_use
Random,0.1,0.1006840540484144,0.0913585394148739,0.11313576537429303,34,1439,0.1006840540484144,next_use
Random,0.2,0.19798720378430593,0.19032334511639493,0.20643239188372126,34,1439,0.19798720378430593,next_use
Random,0.3,0.29828805302267314,0.2886222279271039,0.3117367215687713,34,1439,0.29828805302267314,next_use
Random,0.4,0.3955047378168502,0.38717782055243993,0.40360238828414163,34,1439,0.3955047378168502,next_use
Random,0.5,0.5014478412167197,0.49210614294176214,0.5127465111700099,34,1439,0.5014478412167197,next_use
Random,0.6,0.6026333915164607,0.5933003688505339,0.6128152907764505,34,1439,0.6026333915164607,next_use
Random,0.8,0.8002386829964513,0.7921569771310599,0.8095528674665498,34,1439,0.8002386829964513,next_use
Random,1.0,1.0,1.0,1.0,34,1439,1.0,next_use
SimpleCoverageLoad,0.1,0.05561140726811849,0.04268816290935893,0.06864465457411467,34,1439,0.05561140726811849,next_use
SimpleCoverageLoad,0.2,0.1481564937086625,0.12278384612592343,0.17370666360828774,34,1439,0.1481564937086625,next_use
SimpleCoverageLoad,0.3,0.2724778151313721,0.23467991966319848,0.3097652722788261,34,1439,0.2724778151313721,next_use
SimpleCoverageLoad,0.4,0.392655338674906,0.34571702044534985,0.4364890596965656,34,1439,0.392655338674906,next_use
SimpleCoverageLoad,0.5,0.5301042088814362,0.467159154345103,0.5861656366678194,34,1439,0.5301042088814362,next_use
SimpleCoverageLoad,0.6,0.6651753448298392,0.616124449536013,0.711111008629135,34,1439,0.6651753448298392,next_use
SimpleCoverageLoad,0.8,0.8731934166215631,0.8388155278308314,0.9042129629223917,34,1439,0.8731934166215631,next_use
SimpleCoverageLoad,1.0,1.0,1.0,1.0,34,1439,1.0,next_use
B02Utility,0.1,0.05458132958316885,0.038618430395328134,0.07302404411738068,34,1439,0.05458132958316885,horizon_h4
B02Utility,0.2,0.12478930165708822,0.09501684570599943,0.15738333260923867,34,1439,0.12478930165708822,horizon_h4
B02Utility,0.3,0.24625020560517843,0.2039428569331344,0.2884533879137117,34,1439,0.24625020560517843,horizon_h4
B02Utility,0.4,0.35739192303778533,0.3128972491003306,0.4023396280834827,34,1439,0.35739192303778533,horizon_h4
B02Utility,0.5,0.47988841356052014,0.4303390080995525,0.5260716910185296,34,1439,0.47988841356052014,horizon_h4
B02Utility,0.6,0.6225952752745594,0.5840282261694102,0.6598227427533994,34,1439,0.6225952752745594,horizon_h4
B02Utility,0.8,0.8571731370107296,0.8139215989478518,0.8971895640981854,34,1439,0.8571731370107296,horizon_h4
B02Utility,1.0,1.0,1.0,1.0,34,1439,1.0,horizon_h4
CoverageAdvantage,0.1,0.060436612242275194,0.0468914498540648,0.07492820172870586,34,1439,0.060436612242275194,horizon_h4
CoverageAdvantage,0.2,0.15552044448845398,0.12627886683198872,0.18656310718213043,34,1439,0.15552044448845398,horizon_h4
CoverageAdvantage,0.3,0.2841183412589321,0.23796956090047028,0.33488684215048825,34,1439,0.2841183412589321,horizon_h4
CoverageAdvantage,0.4,0.43102991397944107,0.3791728778568472,0.4819503130603929,34,1439,0.43102991397944107,horizon_h4
CoverageAdvantage,0.5,0.5807632283094051,0.5076935030392847,0.651812006465842,34,1439,0.5807632283094051,horizon_h4
CoverageAdvantage,0.6,0.7280192159756965,0.6732306838813634,0.7855138969457542,34,1439,0.7280192159756965,horizon_h4
CoverageAdvantage,0.8,0.9092150793776377,0.8709348014126641,0.9428736889833702,34,1439,0.9092150793776377,horizon_h4
CoverageAdvantage,1.0,1.0,1.0,1.0,34,1439,1.0,horizon_h4
CoverageDelta,0.1,0.05916836136355218,0.046425001033106796,0.07334613817030898,34,1439,0.05916836136355218,horizon_h4
CoverageDelta,0.2,0.15169381091925616,0.12840405335597366,0.1775817837077027,34,1439,0.15169381091925616,horizon_h4
CoverageDelta,0.3,0.2923098951110001,0.25410516693671104,0.33290277330589524,34,1439,0.2923098951110001,horizon_h4
CoverageDelta,0.4,0.4551267846490616,0.4066727507301344,0.5037866405579411,34,1439,0.4551267846490616,horizon_h4
CoverageDelta,0.5,0.6022739609778743,0.5347310768463245,0.668595830908336,34,1439,0.6022739609778743,horizon_h4
CoverageDelta,0.6,0.7585647412991441,0.7052658380225238,0.8162339116429391,34,1439,0.7585647412991441,horizon_h4
CoverageDelta,0.8,0.9275263612517649,0.8899390276664595,0.9614130104039743,34,1439,0.9275263612517649,horizon_h4
CoverageDelta,1.0,1.0,1.0,1.0,34,1439,1.0,horizon_h4
DecisionAware,0.1,0.0636683026477734,0.049118383338695226,0.07860629482432387,34,1439,0.0636683026477734,horizon_h4
DecisionAware,0.2,0.14854227650622143,0.12012996325127233,0.1781497485759038,34,1439,0.14854227650622143,horizon_h4
DecisionAware,0.3,0.2724076635123405,0.22867350981054146,0.3228394841544929,34,1439,0.2724076635123405,horizon_h4
DecisionAware,0.4,0.4233671359891642,0.37298218693621005,0.4724688410007743,34,1439,0.4233671359891642,horizon_h4
DecisionAware,0.5,0.5730769466720489,0.501208108080851,0.6417839314410188,34,1439,0.5730769466720489,horizon_h4
